Feature Name,Mouse Mean,Mouse Std,Rat Mean,Rat Std,t-statistic,p-value,Significant,Corrected p-value,Significant after correction
AHP1_depth_from_peak.highfreq_firing_current,70.7189,17.3836,94.3054,5.0639,-3.1662,0.0194,yes,1,False
AHP1_depth_from_peak.rheobase_current,70.8828,12.9982,95.0317,6.6905,-3.9641,0.0045,yes,0.8094,False
AHP1_depth_from_peak.steady_state_current,71.8572,15.3436,92.8406,5.334,-3.1305,0.0187,yes,1,False
AHP2_depth_from_peak.highfreq_firing_current,67.1631,15.4571,88.7451,4.943,-3.2278,0.0172,yes,1,False
AHP2_depth_from_peak.steady_state_current,70.9849,14.6212,92.9749,5.4572,-3.41,0.0124,yes,1,False
AHP_depth_from_peak.rheobase_current,70.5447,12.946,93.7997,6.2107,-3.8949,0.0053,yes,0.9555,False
AHP_depth_from_peak.steady_state_current,69.6901,12.8538,91.8434,4.929,-3.8922,0.0066,yes,1,False
AP1_peak.highfreq_firing_current,13.3109,13.0238,32.6538,3.7436,-3.47,0.0134,yes,1,False
AP1_peak.rheobase_current,12.2383,10.6536,35.8459,4.942,-4.839,0.0017,yes,0.3017,False
AP1_peak.steady_state_current,13.0811,12.4071,33.6975,4.5636,-3.7753,0.0079,yes,1,False
AP2_amp.highfreq_firing_current,53.3023,12.3329,71.167,4.1149,-3.3326,0.0147,yes,1,False
AP2_amp.steady_state_current,53.7395,12.3964,74.7314,3.9339,-3.9179,0.0074,yes,1,False
AP2_peak.highfreq_firing_current,11.3098,11.3156,28.9246,3.8023,-3.5784,0.0107,yes,1,False
AP2_peak.steady_state_current,12.8454,12.0617,34.198,3.5484,-4.1273,0.0061,yes,1,False
AP_amplitude.highfreq_firing_current,48.6028,10.5601,67.1544,7.609,-3.3777,0.0083,yes,1,False
AP_amplitude.steady_state_current,50.8039,10.8733,75.2328,3.1083,-5.2517,0.002,yes,0.3546,False
AP_amplitude_change.steady_state_current,-0.0853,0.0372,0.0119,0.0702,-2.7864,0.0327,yes,1,False
AP_amplitude_from_voltagebase.highfreq_firing_current,75.847,7.9388,90.42,6.2118,-3.414,0.0077,yes,1,False
AP_amplitude_from_voltagebase.rheobase_current,76.1195,9.4505,99.6946,3.7655,-5.6002,0.0009,yes,0.165,False
AP_amplitude_from_voltagebase.steady_state_current,76.323,9.1078,98.6762,3.5404,-5.5312,0.001,yes,0.184,False
AP_begin_voltage.highfreq_firing_current,-37.9678,2.9481,-42.7818,3.3451,2.5072,0.0361,yes,1,False
AP_duration_change.highfreq_firing_current,0.1241,0.0509,0.2948,0.0517,-5.4897,0.0005,yes,0.0821,False
AP_height.highfreq_firing_current,10.6543,9.4189,24.4251,5.9854,-2.9392,0.0175,yes,1,False
AP_height.rheobase_current,12.1441,10.7273,35.0632,4.2907,-4.7935,0.0022,yes,0.3898,False
